Year,Zeitreihe,Altersklasse,Geschlecht,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,|,,,33.5
2021,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,,,,25.2
2013,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,,,,28.8
2018,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,|,,,22.7
2021,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,,,,28.6
2013,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,,,,37.6
2018,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,|,,,34.1
2021,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,,,,45.0
2013,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,,,,34.3
2018,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,|,,,40.3
2021,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,,,,46.7
2013,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,,,,45.2
2018,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,|,,,37.1
2021,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,,,,55.2
2013,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,,,,56.8
2018,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,|,,,40.1
2021,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,,,,15.9
2013,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,,,,46.6
2018,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,|,,,77.0
2021,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,,Männlich,,,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2013,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2018,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,|,,,52.6
2021,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,,,,Körperliche sexuelle Belästigung,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,,,,34.1
2013,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,,,,40.0
2018,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,|,,,21.3
2021,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,16 bis unter 25 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,,,,32.3
2013,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,,,,34.6
2018,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,|,,,40.3
2021,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,25 bis unter 35 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,,,,33.6
2013,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,,,,32.0
2018,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,|,,,24.0
2021,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,35 bis unter 45 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,,,,28.0
2013,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,,,,29.8
2018,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,|,,,12.6
2021,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,45 bis unter 55 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,,,,34.2
2013,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,,,,25.0
2018,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,|,,,23.0
2021,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,55 bis unter 65 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,,,,35.8
2013,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,,,,39.3
2018,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,|,,,40.4
2021,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,65 bis unter 75 Jahre,,,Körperliche sexuelle Belästigung,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,,,,33.7
2013,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,,,,44.6
2018,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,|,,,43.2
2021,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,75 Jahre und älter,,,Körperliche sexuelle Belästigung,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,,,,59.3
2013,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,,,,31.1
2018,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,|,,,19.3
2021,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,,Weiblich,,Körperliche sexuelle Belästigung,…,,,
2010,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,.,,,
2011,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,.,,,
2012,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,.,,,
2013,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,.,,,
2014,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,.,,,
2015,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,.,,,
2016,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,.,,,
2017,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,.,,,
2018,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,.,,,
2019,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,.,,,
2020,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,|,,,90.9
2021,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,…,,,
2022,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,…,,,
2023,c) Anzeigequote bei sexueller Gewalt,,Männlich,,Körperliche sexuelle Belästigung,…,,,
